NAME,FORM
"CHEMBL6512",C19H21BrN4O2S
"CHEMBL6800",C17H17BrN4O3S
"CHEMBL6376",C11H15NO2
"p-IODOAMPHETAMINE",C9H12IN
"CHEMBL6380",C22H25N5O3
"CHEMBL415288",C24H29N5O3
"CHEMBL6627",C19H22N2
"CHEMBL404992",C21H26N2
"CHEMBL6543",C18H19BrN4O2S
"CHEMBL269537",C21H29N5O3
"CHEMBL6842",C12H17N
"CHEMBL6664",C18H20I2O2
"CHEMBL6732",C18H21BrO2
"CHEMBL267600",C33H40INO
"CHEMBL266508",C23H22N4O4
"CHEMBL6788",C25H26N4O4
"CHEMBL6789",C21H31N5O3
"CHEMBL266684",C17H16IN3O2S
"CHEMBL6485",C18H20Br2O2
"CHEMBL266685",C13H17N5O2
"CHEMBL6744",C35H44INO
"CHEMBL268340",C24H34O6
"CHEMBL266927",C16H21N5O3
"CHEMBL6617",C30H36INO
"CHEMBL267035",C30H34INO
"CHEMBL6425",C14H19N5O4S
"CHEMBL6436",C27H29FN4O4
"CHEMBL6410",C34H42INO
"CHEMBL6411",C17H16BrN3O2S
"CHEMBL267833",C10H8INO3
"CHEMBL267834",C10H8ClNO3
"CHEMBL6382",C17H17BrN4O2S
"CHEMBL414200",C16H16N4O2S
"AMPHETAMINE",C9H13N
"CHEMBL269303",C32H38INO
"CHEMBL266039",C26H28N2
"CHEMBL267705",C20H29N5O3
"CHEMBL6431",C18H25N5O4
"CHEMBL6432",C27H34N2O5S
"CHEMBL6628",C9H11FN2O5
"CHEMBL6579",C29H44O9
"CHEMBL6638",C24H32N2
"CHEMBL266317",C24H29N5O4
"CHEMBL267832",C25H26N4O4
"ISOSORBIDE DINITRATE",C6H8N2O8
"CHEMBL6677",C16H18N2O3
"CHEMBL6730",C26H28INO
"CHEMBL6663",C26H28N4O4
"CHEMBL268627",C18H25N5O3
"CHEMBL6596",C34H44INO
"CHEMBL6527",C18H23N5O2
"CHEMBL6785",C18H19BrN4O3S
"CHEMBL267426",C28H32INO
"CHEMBL6649",C17H20N2
"CHEMBL266509",C25H25N5O5
"CHEMBL6718",C32H40INO
"CHEMBL263079",C17H17BrN4O3S
"MIANSERIN",C18H20N2
"CHEMBL6511",C26H30N2O5S
"CHEMBL6528",C19H24N2
"CHEMBL451551",C25H34O7
"CHEMBL6775",C27H23N5O4
"CHEMBL6471",C27H32N2O5S
"CHEMBL6447",C20H27N5O3
"CHEMBL6556",C20H29N5O3
"CHEMBL266279",C20H29N5O3
"CHEMBL6443",C15H18N4O4
"CHEMBL269600",C25H23N5O2S
"CHEMBL6598",C21H29N5O3
"CHEMBL6433",C16H15ClN4O2S
"CHEMBL6463",C18H19N3O2S
"CHEMBL269536",C14H15N5O2
"CHEMBL6464",C16H20N2O3
"TENAMFETAMINE",C10H13NO2
"CHEMBL268690",C9H11IN2O5
"CHEMBL6497",C10H14N2O5
"CHEMBL6544",C12H8Cl2N6S
"CHEMBL6468",C16H16N4O2S
"CHEMBL6676",C25H24N4O6
"CHEMBL268855",C17H17N3O2S
"CHEMBL6327",C29H34INO
"LYSERGIDE",C20H25N3O
"CHEMBL415104",C29H26N4O4
"CHEMBL6271",C29H24FN5O6
"CHEMBL6631",C13H12N6OS
"IMIPRAMINE",C19H24N2
"CHEMBL6496",C24H21N5O2S
"CHEMBL6481",C21H31N5O4
"CHEMBL6482",C22H28N2
"CHEMBL414182",C18H22N2
"CHEMBL6603",C18H22N2
"CHEMBL6590",C25H22N4O3
"CHEMBL264097",C25H22N4O3
"CHEMBL6816",C10H9NO3
"CHEMBL267427",C27H34N2O5S
"CHEMBL6609",C23H28N2O2S2
"CHEMBL6502",C24H38O5
"CHEMBL6504",C27H36O7
"CHEMBL6581",C11H8ClN3O
"INDAPAMIDE",C16H16ClN3O3S
"CHEMBL269773",C27H32N2O5S
"CHEMBL267190",C23H36O5
"CHEMBL268626",C14H15N3O3S
"CHEMBL6595",C20H24N2O3
"CHEMBL6580",C11H11NO3
"CHEMBL6460",C15H18N2O4
"CHEMBL6559",C41H67N9O16
"CHEMBL266539",C40H65N9O16
"CHEMBL414009",C39H63N9O16
"CHEMBL6500",C24H30N2O3S
"CHEMBL6499",C21H27N3O2S3
"CHEMBL6424",C24H29N5O3
"CHEMBL6474",C23H27N5O3
"Ro-151310",C15H14ClN3O3
"FLUMAZENIL",C15H14FN3O3
"CHEMBL6484",C11H8ClN3O
"CHEMBL6507",C39H60F3N9O16
"CHEMBL428313",C38H62ClN9O17S
"CHEMBL439178",C85H128N20O31S
"CHEMBL266541",C15H18N2O3
"CHEMBL6554",C11H15NO
"CHEMBL265669",C28H23FN4O4
"CHEMBL6498",C21H20N4O2
"CHEMBL6630",C16H15BrN4O2S
"CHEMBL266086",C27H30INO
"CHEMBL6486",C14H13ClN4O3
"CHEMBL6487",C17H11Cl3N4O
"CHEMBL269368",C20H20N2O5
"CHEMBL415108",C25H34O6
"CHEMBL414772",C83H126N20O30S
"CHEMBL6520",C27H40N6O8
"CHEMBL6360",C31H45N7O11
"CHEMBL415105",C26H22N4O2
"CHEMBL6545",C10H8ClNO3
"CHEMBL6546",C17H15NO3
